vid,name,field_type,authority,field_authority_link,field_alternate_name,description,field_cat_date_begin,field_cat_date_end,target_id,rel_type
corporate_body,AIDS Committee of Toronto,Corporation,viaf,https://viaf.org/viaf/158212378,,,,,,
corporate_body,AIDS Network of Edmonton Society,Corporation,viaf,https://viaf.org/viaf/143017407,,,,,,
corporate_body,Black Coalition for AIDS Prevention,Corporation,wiki,https://www.wikidata.org/wiki/Q59535443,,,,,,
corporate_body,Canada. Department of National Health and Welfare,Government Organization,viaf,https://viaf.org/viaf/270954736,,,,,,
corporate_body,GMHC A/V,,,,,,,,,
corporate_body,Human Health Organization,,,,,,,,,
corporate_body,Independent Communications Associates,Corporation,viaf,https://viaf.org/viaf/138591428,,,,,,
corporate_body,Learning Channel (Firm),Corporation,viaf,https://viaf.org/viaf/149452615,,,,,,
corporate_body,National Native American AIDS Prevention Center,Corporation,viaf,https://viaf.org/viaf/125634385,,,,,,
corporate_body,San Francisco AIDS Foundation,Corporation,viaf,https://viaf.org/viaf/146319800,,,,,,
