vid,name,authority,field_authority_link,field_alternate_name,description,field_cat_date_begin,field_cat_date_end,target_id,rel_type
person,"Abrams, Roz",viaf,https://viaf.org/viaf/16764519,,,,,,
person,"Barnes, Willie C.",,,,,,,,
person,"Bordowitz, Gregg, 1964-",viaf,https://viaf.org/viaf/75897395,,,,,,
person,"Broman, Doug",,,,,,,,
person,"Carlomusto, Jean",viaf,https://viaf.org/viaf/28736004,,,,,,
person,"Chong, Rae Dawn, 1961-",viaf,https://viaf.org/viaf/61734255,,,,,,
person,"Cole, Janet",viaf,https://viaf.org/viaf/310725459,,,,,,
person,"Getchell, Franklin",viaf,https://viaf.org/viaf/16762850,,,,,,
person,"Hall, Verna",,,,,,,,
person,"Hister, Art",viaf,https://viaf.org/viaf/48560259,,,,,,
person,"Kesden, Bradley",viaf,https://viaf.org/viaf/6380219,,,,,,
person,"Maslin, Nigel",viaf,https://viaf.org/viaf/21762997,,,,,,
person,"Modeste, Wendi",viaf,https://viaf.org/viaf/73820286,,,,,,
person,"Munro, Carol",,,,,,,,
person,"Murphy, Kevin",,,,,,,,
person,"Weale, Sally",viaf,https://viaf.org/viaf/18167500695192800234,,,,,,
person,"Young, Geri",,,,,,,,
