vid,name,authority,field_authority_link,lat,long,field_geo_alt_name
city,Aberystwyth,geonames,http://sws.geonames.org/7292321,52.41227,-4.07708,
city,Acton,geonames,http://sws.geonames.org/5882134,43.62969,-80.04149,
city,Adelaide Metcalfe,geonames,http://sws.geonames.org/5882340,42.91679,-81.73308,
city,Adjala-Tosorontio,geonames,http://sws.geonames.org/5882367,44.13231,-79.93216,
city,Akron,geonames,http://sws.geonames.org/5145476,41.08144,-81.51901,
city,Akwesasne,geonames,http://sws.geonames.org/5883016,45.003,-74.7295,Akwesasne
city,Albany,geonames,http://sws.geonames.org/5106834,42.65258,-73.75623,
city,Alfred and Plantagenet,geonames,http://sws.geonames.org/5883593,45.5407,-74.98259,
city,Alnwick/Haldimand,geonames,http://sws.geonames.org/5884136,44.11682,-78.04951,
city,Altenburg,geonames,http://sws.geonames.org/2957773,50.98763,12.43684,
city,Amaranth,geonames,http://sws.geonames.org/5884341,43.9668,-80.24968,
city,Ameliasburgh,geonames,http://sws.geonames.org/5884396,44.01682,-77.41617,
city,Amsterdam,geonames,http://sws.geonames.org/2759794,52.37403,4.88969,
city,Andover,geonames,http://sws.geonames.org/4929055,42.65843,-71.137,
city,Arbakka,geonames,http://sws.geonames.org/5886552,49.05387,-96.47811,
city,Arborfield,geonames,http://sws.geonames.org/5886559,53.10006,-103.65092,
city,Arnhem,geonames,http://sws.geonames.org/2759661,51.98,5.91111,
city,Ashfield-Colborne-Wawanosh,geonames,http://sws.geonames.org/5887554,43.95009,-81.59977,
city,Astoria,geonames,http://sws.geonames.org/5711847,46.18788,-123.83125,
city,Athens,geonames,http://sws.geonames.org/5887943,44.61681,-75.94936,
city,Atlanta,geonames,http://sws.geonames.org/4180439,33.749,-84.38798,
city,Aurora,geonames,http://sws.geonames.org/5888377,44.00011,-79.46632,
city,Austin,geonames,http://sws.geonames.org/5888406,49.95033,-98.93688,
city,Avignon,geonames,http://sws.geonames.org/6455379,43.94861,4.80833,
city,Aweme,geonames,http://sws.geonames.org/5888604,49.70863,-99.60363,
city,Ayton,geonames,http://sws.geonames.org/5888745,44.05009,-80.91643,
city,Baltimore,geonames,http://sws.geonames.org/4347778,39.29038,-76.61219,
city,Bancroft,geonames,http://sws.geonames.org/5892509,45.05013,-77.8495,
city,Barrie,geonames,http://sws.geonames.org/5894171,44.40011,-79.66634,
city,Beauceville,geonames,http://sws.geonames.org/8672937,46.23578,-70.76843,
city,Beausejour,geonames,http://sws.geonames.org/5896549,50.0622,-96.51669,
city,Beaverlodge,geonames,http://sws.geonames.org/11807253,55.20915,-119.42273,
city,Beijing,geonames,http://sws.geonames.org/11876380,39.89056,116.41549,
city,Belfast,geonames,http://sws.geonames.org/2655984,54.59682,-5.92541,
city,Belleterre,geonames,http://sws.geonames.org/8673785,47.3695,-78.73787,
city,Belleville,geonames,http://sws.geonames.org/5897884,44.16682,-77.38277,
city,Belmont,geonames,http://sws.geonames.org/5898126,49.40942,-99.45722,
