vid,name,field_type,authority,field_authority_link,field_alternate_name,description,field_cat_date_begin,field_cat_date_end,target_id,rel_type
corporate_body,The Toronto Evening Telegram,Corporation,wikidata,https://www.wikidata.org/wiki/Q17152683,Toronto Telegram|Telegram staff|Toronto Telegram staff|[Toronto Telegram]|[Telegram staff]|[Toronto Telegram staff],,1876,1971,,
corporate_body,ACME Newspictures,Corporation,viaf,http://viaf.org/viaf/122459866,ACME News|ACME News Photos|ACME Newspictures|ACME Photographs|ACME Photos|ACME,,1923,1952,,
corporate_body,Alexandra Studios,Local Business,wikidata,https://www.wikidata.org/wiki/Q97408202,Alexandre Studios|Alexandra Studio|Turofsky Photographers|Alexander Studio-Turofsky|Alexandra Studio-Turofsky|Alexander Studio|Turofsky for Alexandra Studio,,1911,1976,,
corporate_body,Associated Press,Corporation,viaf,http://viaf.org/viaf/152390251,AP|AP Wire|the Associated Press|the AP|The Associated PressAP|AP Wire|the Associated Press|the AP|The Associated Press,,1846,,,
corporate_body,The Canadian Press,Corporation,viaf,http://viaf.org/viaf/131293522,Presse Canadienne|Canadian Press|La Presse Canadienne|Presse canadienne|La presse canadienne,,1917,,,
corporate_body,Capital Press Limited,Corporation,wikidata,https://www.wikidata.org/wiki/Q106137152,Capital Press Ltd.,,1957,1978-11-28,,
corporate_body,United Press International,Corporation,viaf,http://viaf.org/viaf/152412970,United Press Associations|UPI|United Press,,1907,,,
corporate_body,Académie des beaux-arts (France),,viaf,http://viaf.org/viaf/148468807,École des Beaux-Arts (Paris)‏,,,,,
corporate_body,Académie des inscriptions & belles-lettres (France),,viaf,https://viaf.org/viaf/126085610/,Académie des inscriptions et belles-lettres (Paris),,,,,
corporate_body,Alvorado,,,,Alvorado,,,,,
corporate_body,Amasa Stone Mather Memorial Publication Fund,,viaf,https://viaf.org/viaf/156740502/,,,,,,
corporate_body,American Geographical Society of New York,,viaf,https://viaf.org/viaf/144192553/,American Geographical Society,,,,,
corporate_body,Amerikan suomalaisten sosialististen Kustannusliike,,worldcat,https://www.worldcat.org/identities/nc-amerikan%20suomalaisten%20sosialististen%20kustannusliike/,,,,,,
corporate_body,Andy Milne Quartet (Musical group),,,,Andy Milne Quartet (Musical group),,,,,
corporate_body,Apostolat de la prière,,viaf,http://viaf.org/viaf/141382067,,,,,,
corporate_body,Arcana-Ensemble,,viaf,http://viaf.org/viaf/156771108,Arcana-Ensemble,,,,,
corporate_body,Archives du Québec,,viaf,http://viaf.org/viaf/130153150,,,,,,
corporate_body,Archives publiques du Canada,,viaf,http://viaf.org/viaf/266162547,Public Archives of Canada,,,,,
corporate_body,Arditti String Quartet,,viaf,http://viaf.org/viaf/121315916,Arditti String Quartet,,,,,
corporate_body,Armée du salut,,viaf,http://viaf.org/viaf/153030282,Salvation Army,,,,,
