vid,name,authority,field_authority_link,lat,long,field_geo_alt_name
geo_location,Australia,geonames,http://sws.geonames.org/2077456,-25,135,
geo_location,Austria,geonames,http://sws.geonames.org/2782113,47.33333,13.33333,
geo_location,Bahamas,geonames,http://sws.geonames.org/3572887,25.04082,-77.3712,
geo_location,Belgium,geonames,http://sws.geonames.org/2802361,50.75,4.5,
geo_location,Burma,geonames,http://sws.geonames.org/1327865,21,96,Myanmar
geo_location,Cambodia,geonames,http://sws.geonames.org/1831722,13,105,
geo_location,Canada,geonames,http://sws.geonames.org/6251999,60.10867,-113.643,
geo_location,China,geonames,http://sws.geonames.org/1814991,35,105,
geo_location,Czechoslovakia,geonames,http://sws.geonames.org/8505031,50.08292,14.46672,
geo_location,Denmark,geonames,http://sws.geonames.org/2623032,56,10,
geo_location,El Salvador,geonames,http://sws.geonames.org/3585968,13.83333,-88.9167,
geo_location,England,geonames,http://sws.geonames.org/6269131,52.16045,-0.70312,
geo_location,Finland,geonames,http://sws.geonames.org/660013,64,26,
geo_location,France,geonames,http://sws.geonames.org/3017382,46,2,
geo_location,Germany,geonames,http://sws.geonames.org/2921044,51.5,10.5,
geo_location,Guyana,geonames,http://sws.geonames.org/3378535,5,-59,
geo_location,Hong Kong,geonames,http://sws.geonames.org/1819729,22.27832,114.1747,
geo_location,Hungary,geonames,http://sws.geonames.org/719819,47,20,
geo_location,Indonesia,geonames,http://sws.geonames.org/1643084,-5,120,
geo_location,Iran,geonames,http://sws.geonames.org/130758,32,53,
geo_location,Ireland,geonames,http://sws.geonames.org/2963597,53,-8,
geo_location,Italy,geonames,http://sws.geonames.org/3175395,42.83333,12.83333,
geo_location,Japan,geonames,http://sws.geonames.org/1861060,35.68536,139.7531,
geo_location,Latvia,geonames,http://sws.geonames.org/458258,57,25,
geo_location,Liechtenstein,geonames,http://sws.geonames.org/3042058,47.16667,9.53333,
geo_location,Moldova,geonames,http://sws.geonames.org/617790,47.25,28.58333,
geo_location,Myanmar,geonames,http://sws.geonames.org/1327865,21,96,Burma
geo_location,Netherlands,geonames,http://sws.geonames.org/2750405,52.25,5.75,
geo_location,Philippines,geonames,http://sws.geonames.org/1694008,13,122,
geo_location,Portugal,geonames,http://sws.geonames.org/2264397,39.6945,-8.13057,
geo_location,Russia,geonames,http://sws.geonames.org/2017370,60,100,
geo_location,Scotland,geonames,http://sws.geonames.org/2638360,56,-4,
geo_location,South Korea,geonames,http://sws.geonames.org/1835841,36.5,127.75,
geo_location,Spain,geonames,http://sws.geonames.org/2510769,40,-4,
geo_location,Sweden,geonames,http://sws.geonames.org/2661886,62,15,
geo_location,Switzerland,geonames,http://sws.geonames.org/2658434,47.00016,8.01427,
geo_location,Thailand,geonames,http://sws.geonames.org/1605651,15.5,101,
geo_location,United Kingdom,geonames,http://sws.geonames.org/2635167,54.75844,-2.69531,
geo_location,United States,geonames,http://sws.geonames.org/6252001,39.76,-98.5,
geo_location,Vietnam,geonames,http://sws.geonames.org/1562822,16.16667,107.8333,
geo_location,Wales,geonames,http://sws.geonames.org/2634895,52.5,-3.5,
