vid,name,authority,field_authority_link,lat,long
county,Abitibi,geonames,http://sws.geonames.org/5881929,48.56688,-77.99953
county,Abitibi-Témiscamingue,geonames,http://sws.geonames.org/5881941,48.10018,-77.7828
county,Alexander,geonames,http://sws.geonames.org/5883398,50.48331,-96.05056
county,Algoma District,geonames,http://sws.geonames.org/5883638,47.88364,-84.42406
county,Armstrong,geonames,http://sws.geonames.org/5887047,50.66671,-97.45068
county,Arthur,geonames,http://sws.geonames.org/5887357,49.16692,-101.00028
county,Bedfordshire,geonames,http://sws.geonames.org/2656044,52,-0.5
county,Bifort,geonames,http://sws.geonames.org/5899475,50.83331,-97.16737
county,Braives,geonames,http://sws.geonames.org/2801148,50.61723,5.13508
county,Brant,geonames,http://sws.geonames.org/5907982,43.1668,-80.33297
county,Brazeau County,geonames,http://sws.geonames.org/5908165,53.1779,-115.22159
county,Bristol,geonames,http://sws.geonames.org/3333134,51.45,-2.6
county,Brokenhead,geonames,http://sws.geonames.org/5909350,50.0781,-96.49999
county,Bruce County,geonames,http://sws.geonames.org/5910071,44.50009,-81.24974
county,Buckinghamshire,geonames,http://sws.geonames.org/2654408,51.75,-0.75
county,Cameron,geonames,http://sws.geonames.org/5913766,49.4167,-100.58419
county,Cape Breton,geonames,http://sws.geonames.org/5915565,46.00014,-60.31516
county,Capitale-Nationale,geonames,http://sws.geonames.org/6691319,47.376,-71.12337
county,Carleton,geonames,http://sws.geonames.org/8581623,45.41858,-75.69717
county,Carter,geonames,http://sws.geonames.org/5917773,49.88311,-97.67649
county,Chatham-Kent,geonames,http://sws.geonames.org/5920450,42.40009,-82.1831
county,Cochrane District,geonames,http://sws.geonames.org/5924616,50.00022,-82.99979
county,Cook County,geonames,http://sws.geonames.org/4888671,41.8954,-87.64616
county,County Antrim,geonames,http://sws.geonames.org/2657254,55,-6.16667
county,Cumberland,geonames,http://sws.geonames.org/5933880,45.75015,-64.16543
county,Davidson County,geonames,http://sws.geonames.org/4617305,36.17069,-86.77753
county,Devon,geonames,http://sws.geonames.org/11609025,50.7512,-3.81027
county,Muskoka District Municipality,geonames,http://sws.geonames.org/6084939,45.16681,-79.49964
county,Dufferin County,geonames,http://sws.geonames.org/5943542,44.0834,-80.24968
county,Durham County (U.K.),geonames,http://sws.geonames.org/2650629,54.7768,-1.57575
county,Durham Regional Municipality,geonames,http://sws.geonames.org/5944369,44.20012,-78.99957
county,East Sussex,geonames,http://sws.geonames.org/2650328,50.91667,0.33333
county,Elgin County,geonames,http://sws.geonames.org/5947587,42.50009,-81.66647
county,Essex County (U.K.),geonames,http://sws.geonames.org/11609034,51.78449,0.57449
county,Essex County (Ont.),geonames,http://sws.geonames.org/5949533,42.16678,-82.83313
county,Ethelbert,geonames,http://sws.geonames.org/5950217,51.5292,-100.49397
county,Frontenac County,geonames,http://sws.geonames.org/5958506,44.66682,-76.74941
county,Fulton County,geonames,http://sws.geonames.org/4196508,33.79025,-84.46702
county,Gladstone,geonames,http://sws.geonames.org/5961655,50.22583,-98.95078
county,Glarus,geonames,http://sws.geonames.org/6458747,47.0167,9.05889
county,Gloucestershire,geonames,http://sws.geonames.org/2648402,51.83333,-2.16667
county,Greater London,geonames,http://sws.geonames.org/2648110,51.5,-0.16667
county,Grey (Man.),geonames,http://sws.geonames.org/5966926,49.71111,-98.07573
county,Grey County,geonames,http://sws.geonames.org/5966925,44.33339,-80.74972
