vid,name,authority,field_authority_link
language,Afar,iso639-2b,http://id.loc.gov/vocabulary/languages/aar
language,Abkhaz,iso639-2b,http://id.loc.gov/vocabulary/languages/abk
language,Achinese,iso639-2b,http://id.loc.gov/vocabulary/languages/ace
language,Acoli,iso639-2b,http://id.loc.gov/vocabulary/languages/ach
language,Adangme,iso639-2b,http://id.loc.gov/vocabulary/languages/ada
language,Adygei,iso639-2b,http://id.loc.gov/vocabulary/languages/ady
language,Afroasiatic (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/afa
language,Afrihili (Artificial language),iso639-2b,http://id.loc.gov/vocabulary/languages/afh
language,Afrikaans,iso639-2b,http://id.loc.gov/vocabulary/languages/afr
language,Ainu,iso639-2b,http://id.loc.gov/vocabulary/languages/ain
language,Akan,iso639-2b,http://id.loc.gov/vocabulary/languages/aka
language,Akkadian,iso639-2b,http://id.loc.gov/vocabulary/languages/akk
language,Albanian,iso639-2b,http://id.loc.gov/vocabulary/languages/alb
language,Aleut,iso639-2b,http://id.loc.gov/vocabulary/languages/ale
language,Algonquian (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/alg
language,Altai,iso639-2b,http://id.loc.gov/vocabulary/languages/alt
language,Amharic,iso639-2b,http://id.loc.gov/vocabulary/languages/amh
language,"English, Old (ca. 450-1100)",iso639-2b,http://id.loc.gov/vocabulary/languages/ang
language,Angika,iso639-2b,http://id.loc.gov/vocabulary/languages/anp
language,Apache languages,iso639-2b,http://id.loc.gov/vocabulary/languages/apa
language,Arabic,iso639-2b,http://id.loc.gov/vocabulary/languages/ara
language,Aramaic,iso639-2b,http://id.loc.gov/vocabulary/languages/arc
language,Aragonese,iso639-2b,http://id.loc.gov/vocabulary/languages/arg
language,Armenian,iso639-2b,http://id.loc.gov/vocabulary/languages/arm
language,Mapuche,iso639-2b,http://id.loc.gov/vocabulary/languages/arn
language,Arapaho,iso639-2b,http://id.loc.gov/vocabulary/languages/arp
language,Artificial (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/art
language,Arawak,iso639-2b,http://id.loc.gov/vocabulary/languages/arw
language,Assamese,iso639-2b,http://id.loc.gov/vocabulary/languages/asm
language,Bable,iso639-2b,http://id.loc.gov/vocabulary/languages/ast
language,Athapascan (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/ath
language,Australian languages,iso639-2b,http://id.loc.gov/vocabulary/languages/aus
language,Avaric,iso639-2b,http://id.loc.gov/vocabulary/languages/ava
language,Avestan,iso639-2b,http://id.loc.gov/vocabulary/languages/ave
language,Awadhi,iso639-2b,http://id.loc.gov/vocabulary/languages/awa
language,Aymara,iso639-2b,http://id.loc.gov/vocabulary/languages/aym
language,Azerbaijani,iso639-2b,http://id.loc.gov/vocabulary/languages/aze
language,Banda languages,iso639-2b,http://id.loc.gov/vocabulary/languages/bad
language,Bamileke languages,iso639-2b,http://id.loc.gov/vocabulary/languages/bai
language,Bashkir,iso639-2b,http://id.loc.gov/vocabulary/languages/bak
language,Baluchi,iso639-2b,http://id.loc.gov/vocabulary/languages/bal
language,Bambara,iso639-2b,http://id.loc.gov/vocabulary/languages/bam
language,Balinese,iso639-2b,http://id.loc.gov/vocabulary/languages/ban
language,Basque,iso639-2b,http://id.loc.gov/vocabulary/languages/baq
language,Basa,iso639-2b,http://id.loc.gov/vocabulary/languages/bas
