vid,name,field_type,authority,field_authority_link,field_alternate_name,description,field_cat_date_begin,field_cat_date_end,target_id,rel_type
corporate_body,2degreesC,Organizational Unit,,,,,,,,
corporate_body,AborVitae Environmental Services,Organizational Unit,worldcat,"https://www.worldcat.org/identities/np-services,%20arborvitae%20environmental/",,,,,,
corporate_body,Acacia Consulting & Research,Organizational Unit,viaf,http://viaf.org/viaf/126033927,,,,,,
corporate_body,Acclimatise North America,Organizational Unit,,,,,,,,
corporate_body,Adapting Canadian Work and Workplaces to Climate Change,Organizational Unit,,,,,,,,
corporate_body,Agricultural Landscapes Working Group,Organizational Unit,,,,,,,,
corporate_body,Alan Willis & Associates,Organizational Unit,worldcat,https://www.worldcat.org/identities/nc-alan%20willis%20&%20associates/,,,,,,
corporate_body,Alberta Federation of Labour,Government Organization,viaf,http://viaf.org/viaf/145335197,,,,,,
corporate_body,Alberta Liabilities Disclosure Project,Organizational Unit,,,,,,,,
corporate_body,ArborVitae Environmental Services,Organizational Unit,worldcat,https://www.worldcat.org/identities/nc-arborvitae%20environmental%20services/,,,,,,
corporate_body,Barry Smit Consulting,Organizational Unit,,,,,,,,
corporate_body,Bayswater Consulting Group,Organizational Unit,viaf,http://viaf.org/viaf/129173571,,,,,,
corporate_body,BlueGreen Canada (Alliance),Organizational Unit,worldcat,https://www.worldcat.org/identities/nc-bluegreen%20canada%20alliance/,,,,,,
corporate_body,CalOSHA,Organizational Unit,,,,,,,,
corporate_body,Cambridge University Press,Organizational Unit,viaf,http://viaf.org/viaf/127979069,,,,,,
corporate_body,Canada West Foundation,Organizational Unit,viaf,http://viaf.org/viaf/154338121,,,,,,
corporate_body,Canada. Environment and Climate Change Canada,Government Organization,viaf,http://viaf.org/viaf/12146332911818731874,,,,,,
corporate_body,Canada. Parliament. House of Commons,Government Organization,viaf,http://viaf.org/viaf/146199824,,,,,,
corporate_body,Canada. Parliament. House of Commons. Standing Committee on Environment and Sustainable Development,Government Organization,viaf,http://viaf.org/viaf/138319865,,,,,,
corporate_body,Canadian Autoworkers Union,Organizational Unit,worldcat,"https://www.worldcat.org/identities/np-union,%20canadian%20auto%20workers/",,,,,,
corporate_body,Canadian Centre for Policy Alternatives,Organizational Unit,viaf,http://viaf.org/viaf/147671333,,,,,,
