vid,name,authority,field_authority_link,field_alternate_name,description,field_cat_date_begin,field_cat_date_end,target_id,rel_type
person,"Ambroski, David",,,,,,,,
person,"Anielski, Mark",viaf,http://viaf.org/viaf/5266005,,,,,,
person,"Anthoff, David",worldcat,"https://www.worldcat.org/identities/np-anthoff,%20david/",,,,,,
person,"Atkinson, Elizabeth",viaf,http://viaf.org/viaf/33811183,,,,,,
person,"Attridge, Ian",viaf,http://viaf.org/viaf/31911416,,,,,,
person,"Bak, Céline",worldcat,https://www.worldcat.org/identities/viaf-1006150647096410860007/,,,,,,
person,"Bakker, Karen",viaf,http://viaf.org/viaf/470159613642841030009,,,,,,
person,"Bartsch, Charles",worldcat,https://www.worldcat.org/identities/lccn-n88665075/,,,,,,
person,"Baylin-Stern, Adam C.",worldcat,"https://www.worldcat.org/identities/np-baylin%20stern,%20adam%20c/",,,,,,
person,"Belcher, Ken",viaf,http://viaf.org/viaf/105715972,,,,,,
person,"Belén Sanchez, Ana",worldcat,"https://www.worldcat.org/identities/np-belen%20sanchez,%20ana/",,,,,,
person,"Beresford, Charley",worldcat,"https://www.worldcat.org/identities/np-beresford,%20charley/",,,,,,
person,"Berry, R. Dane",worldcat,"https://www.worldcat.org/identities/np-berry,%20r%20dane/",,,,,,
person,"Beugin, Dale",worldcat,"https://www.worldcat.org/identities/np-beugin,%20dale/",,,,,,
person,"Boychuk, Regan",worldcat,"https://www.worldcat.org/identities/np-boychuk,%20regan/",,,,,,
person,"Bramley, Matthew J.",viaf,http://viaf.org/viaf/106029584,,,,,,
person,"Bridge, Tyee",worldcat,https://www.worldcat.org/identities/lccn-no97052281/,,,,,,
person,"Broughton, Lynn",,,,,,,,
person,"Bull, Gary",viaf,http://viaf.org/viaf/105730212,,,,,,
person,"Burch, Sarah",worldcat,https://www.worldcat.org/identities/viaf-309794560/,,,,,,
person,"Cahill, Carolyn",,,,,,,,
person,"Cairns, Stephanie",worldcat,"https://www.worldcat.org/identities/np-cairns,%20stephanie/",,,,,,
person,"Calvert, John",worldcat,http://viaf.org/viaf/104885924,,,,,,
person,"Campbell, Bruce",,,,,,,,
person,"Card, Amanda",worldcat,https://www.worldcat.org/identities/lccn-n2008075700/,,,,,,
person,"Carlaw, Kenneth",worldcat,https://www.worldcat.org/identities/lccn-no99085275/,,,,,,
person,"Cassils, J. Anthony",worldcat,https://www.worldcat.org/identities/lccn-nb2001058265/,,,,,,
person,"Chalifour, Nathalie J.",viaf,http://viaf.org/viaf/53988948,,,,,,
person,"Charles, Tony",,,,,,,,
person,"Cohen, A.",,,,,,,,
person,"Colangelo, Robert V.",viaf,http://viaf.org/viaf/9091393,,,,,,
person,"Conklin, David W.",viaf,http://viaf.org/viaf/68990209,,,,,,
person,"Cooling, Karen",viaf,http://viaf.org/viaf/314903664,,,,,,
person,"Dale, Ann",viaf,http://viaf.org/viaf/21415386,,,,,,
person,"Daub, Shannon",worldcat,https://www.worldcat.org/identities/lccn-no2013040875/,,,,,,
person,"Dempsey, Jessica",worldcat,https://www.worldcat.org/identities/lccn-no2016039808/,,,,,,
person,"Dewees, Donald N.",viaf,http://viaf.org/viaf/55386885,,,,,,
person,"Dion, Jason",,,,,,,,
person,"Doiron, Geneviève",worldcat,"https://www.worldcat.org/identities/np-doiron,%20genevieve/",,,,,,
person,"Dougan, Jane",worldcat,https://www.worldcat.org/identities/viaf-105352134/,,,,,,
person,"Edwards, Cynthia K.",worldcat,"https://www.worldcat.org/identities/np-edwards,%20cynthia%20k/",,,,,,
person,"Elson, Kent",worldcat,"https://www.worldcat.org/identities/np-elson,%20kent/",,,,,,
person,"Evans, Alison",,,,,,,,
person,"Evans, Mel",,,,,,,,
person,"Fairey, David",worldcat,https://www.worldcat.org/identities/viaf-680159474341827662715/,,,,,,
person,"Farr, Daniel",,,,,,,,
person,"Fischer, Carolyn",viaf,http://viaf.org/viaf/245162367991925790008,,,,,,
person,"Foster, Ryan",,,,,,,,
person,"Francis, Wendy L.",viaf,http://viaf.org/viaf/90429021,,,,,,
person,"Galgóczi, Béla",viaf,http://viaf.org/viaf/50309118,,,,,,
person,"Garrett-Peltier, Heidi",viaf,http://viaf.org/viaf/306319421,,,,,,
person,"Gaušas, Simonas",worldcat,https://www.worldcat.org/identities/viaf-138154381047030291867/,,,,,,
person,"Gilbert, Richard",worldcat,https://www.worldcat.org/identities/lccn-nb90811964/,,,,,,
person,"Gill, Alison",,,,,,,,
person,"Girt, John",,,,,,,,
person,"Grattan, Leslie",,,,,,,,
person,"Gray, Brian",,,,,,,,
person,"Gutstein, Donald",worldcat,https://www.worldcat.org/identities/lccn-n90689247/,,,,,,
person,"Haites, E. F. (Erik F.)",viaf,http://viaf.org/viaf/4889159477897027990004,,,,,,
person,"Hanson, Arthur J.",,,,,,,,
person,"Harnsdorff, Merek",,,,,,,,
person,"Henriques, Irene",worldcat,https://www.worldcat.org/identities/viaf-216080710/,,,,,,
person,"Herman, Christophe",,,,,,,,
person,"Hodgson, Richard C.",viaf,http://viaf.org/viaf/104708387,,,,,,
person,"Hornung, Robert",viaf,http://viaf.org/viaf/55716378,,,,,,
person,"Hughes, J. David",viaf,http://viaf.org/viaf/1846160245349952640009,,,,,,
person,"Hughes, Laura",,,,,,,,
person,"Irwin, Neal",viaf,http://viaf.org/viaf/8858941,,,,,,
person,"Jeliazkov, Gabrielle",,,,,,,,
person,"Jeyakumar, Binnu",worldcat,"https://www.worldcat.org/identities/np-jeyakumar,%20binnu/",,,,,,
person,"Johnson, Mark",,,,,,,,
person,"Kanduth, Anna",,,,,,,,
person,"Karl, Thomas",viaf,http://viaf.org/viaf/35792024,,,,,,
person,"Keating, Michael",worldcat,https://worldcat.org/identities/lccn-n86858528/,,,,,,
person,"Kinney, Patrick",,,,,,,,
person,"Klein, Seth",viaf,http://viaf.org/viaf/31477426,,,,,,
person,"LaTraverse, Simon",worldcat,"https://www.worldcat.org/identities/np-latraverse,%20simon/",,,,,,
person,"Lee, Marc",worldcat,"https://www.worldcat.org/identities/np-lee,%20marc/",,,,,,
person,"Lee, Peter",,,,,,,,
person,"Lieuw-Kie-Song, Maikel",worldcat,"https://www.worldcat.org/identities/np-lieuw%20kie%20song,%20maikel/",,,,,,
person,"Mackenzie, Hugh",worldcat,https://www.worldcat.org/identities/viaf-104993353/,,,,,,
person,"Margolis, Liat",,,,,,,,
person,"Markey, Ray",viaf,http://viaf.org/viaf/27205199,,,,,,
person,"Marshall, Dale",viaf,http://viaf.org/viaf/38410125,,,,,,
person,"Matthews, H. Damon",worldcat,"https://www.worldcat.org/identities/np-matthews,%20h%20damon/",,,,,,
person,"McIvor, Joseph",worldcat,"https://www.worldcat.org/identities/np-mcivor,%20joseph/",,,,,,
person,"McKenzie-Mohr, Doug",worldcat,https://www.worldcat.org/identities/lccn-no98081655/,,,,,,
person,"Meadowcroft, James",viaf,http://viaf.org/viaf/29623642,,,,,,
person,"Medalye, Jacqueline",worldcat,"https://www.worldcat.org/identities/np-medalye,%20jacqueline/",,,,,,
person,"Melillo, Jerry M.",viaf,http://viaf.org/viaf/29611804,,,,,,
person,"Mertins-Kirkwood, Hadrian",worldcat,https://www.worldcat.org/identities/viaf-6154257964124152329/,,,,,,
person,"Moorhouse, Jeremy",viaf,http://viaf.org/viaf/13161209134739861788,,,,,,
person,"Morrison, Ryan",,,,,,,,
person,"Mousseau, Normand",worldcat,https://www.worldcat.org/identities/lccn-no2004113135/,,,,,,
person,"O'Grady, John",worldcat,https://www.worldcat.org/identities/viaf-211190407/,,,,,,
person,"Pape, Andrew",viaf,http://viaf.org/viaf/16867062,,,,,,
person,"Paquin, Dominique",,,,,,,,
person,"Perl, Anthony",worldcat,https://www.worldcat.org/identities/lccn-n98069723/,,,,,,
person,"Peterson, Thomas C.",worldcat,"https://www.worldcat.org/identities/np-peterson,%20thomas%20c/",,,,,,
person,"Plant, Brenda Ann",worldcat,https://www.worldcat.org/identities/viaf-106565763/,,,,,,
person,"Pollin, Robert",worldcat,https://www.worldcat.org/identities/lccn-n91088120/,,,,,,
person,"Poschen, Peter",viaf,http://viaf.org/viaf/35402852,,,,,,
person,"Potvin, Catherine",viaf,http://viaf.org/viaf/31153160,,,,,,
person,"Rabe, Barry G. (Barry George)",viaf,http://viaf.org/viaf/98135503,,,,,,
person,"Ramos, Howard",viaf,http://viaf.org/viaf/187144538,,,,,,
person,"Redlin, Blair",worldcat,https://www.worldcat.org/identities/lccn-n92048853/,,,,,,
person,"Reeder, Katie",worldcat,"https://www.worldcat.org/identities/np-reeder,%20katie/",,,,,,
person,"Robertson, Stephanie",,,,,,,,
person,"Rolfe, Christopher",viaf,http://viaf.org/viaf/1880149198361974940006,,,,,,
person,"Roseland, Mark",viaf,http://viaf.org/viaf/21177038,,,,,,
person,"Rowe, James",,,,,,,,
person,"Russell, Doug",,,,,,,,
person,"Ryder, Guy",viaf,http://viaf.org/viaf/925147967344584200006,,,,,,
person,"Saner, Marc",viaf,http://viaf.org/viaf/122311896,,,,,,
person,"Schrecker, Ted",viaf,http://viaf.org/viaf/66620656,,,,,,
person,"Severson-Baker, Emma",,,,,,,,
person,"Sharma, Divya",worldcat,https://www.worldcat.org/identities/lccn-n2011200945/,,,,,,
person,"Shen, Irene",,,,,,,,
person,"Sheppard, Stephen",worldcat,"https://www.worldcat.org/identities/np-sheppard,%20stephen/",,,,,,
person,"Sinclair, Scott",worldcat,https://www.worldcat.org/identities/viaf-271369478/,,,,,,
person,"Singer, Jesse",,,,,,,,
person,"Slawinski, Natalie",,,,,,,,
person,"Snow, John, Jr.",,,,,,,,
