vid,name,authority,field_authority_link
physical_form,aperture card,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,atlas,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,braille,marcform,https://www.loc.gov/standards/valuelist/marcform.html
physical_form,braille,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,celestial globe,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,chart,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,chip cartridge,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,collage,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,combination,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,computer optical disc cartridge,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,cylinder,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,diagram,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,drawing,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,earth moon globe,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,electronic,marcform,https://www.loc.gov/standards/valuelist/marcform.html
physical_form,electronic resource,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,film cartridge,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,film cassette,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,film reel,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,filmslip,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,filmstrip cartridge,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,filmstrip roll,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,flash card,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,globe,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,large print,marcform,https://www.loc.gov/standards/valuelist/marcform.html
physical_form,large print,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,magnetic disk,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,magneto-optical disc,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,map,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,microfiche,marcform,https://www.loc.gov/standards/valuelist/marcform.html
physical_form,microfiche,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,microfiche cassette,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,microfilm,marcform,https://www.loc.gov/standards/valuelist/marcform.html
physical_form,microfilm cartridge,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,microfilm cassette,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,microfilm reel,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,microform,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,microopaque,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,model,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,moon,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,motion picture,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,nonprojected graphic,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
physical_form,optical disc,marcsmd,https://www.loc.gov/standards/valuelist/marcsmd.html
