vid,name,authority,field_authority_link,lat,long,field_geo_alt_name
province,Alberta,geonames,http://sws.geonames.org/5883102,52.28333,-117.469,
province,Arizona,geonames,http://sws.geonames.org/5551752,34.5003,-111.50098,
province,Baden-Württemberg,geonames,http://sws.geonames.org/2953481,48.5,9,
province,Bataan,geonames,http://sws.geonames.org/1726347,14.66667,120.41667,
province,Batangas,geonames,http://sws.geonames.org/1726280,13.7567,121.0584,
province,British Columbia,geonames,http://sws.geonames.org/5909050,53.99983,-125.0032,
province,Bulacan,geonames,http://sws.geonames.org/1723066,14.79278,120.87889,
province,California,geonames,http://sws.geonames.org/5332921,37.25022,-119.75126,
province,Central Java,geonames,http://sws.geonames.org/1642669,-7.5,110,
province,Chiang Mai,geonames,http://sws.geonames.org/1153671,18.79038,98.98468,
province,Connecticut,geonames,http://sws.geonames.org/4831725,41.66704,-72.66648,
province,Da Nang,geonames,http://sws.geonames.org/1583992,16.06778,108.22083,
province,"Washington, D.C.",geonames,http://sws.geonames.org/4138106,38.91706,-77.00025,
province,Florida,geonames,http://sws.geonames.org/4155751,28.75054,-82.5001,
province,Gelderland,geonames,http://sws.geonames.org/2755634,52,5.83333,
province,Georgia,geonames,http://sws.geonames.org/4197000,32.75042,-83.50018,
province,Guangdong,geonames,http://sws.geonames.org/1809935,23.5,113.25,
province,Hawaii,geonames,http://sws.geonames.org/5855797,20.78785,-156.38612,
province,Ho Chi Minh,geonames,http://sws.geonames.org/1580578,10.82327,106.62978,
province,Hokkaido,geonames,http://sws.geonames.org/2130037,43.06451,141.3466,
province,Hong Kong,geonames,http://sws.geonames.org/1819729,22.27832,114.17469,
province,Illinois,geonames,http://sws.geonames.org/4896861,40.00032,-89.25037,
province,Province of Ilocos Sur,geonames,http://sws.geonames.org/1711032,17.19852,120.54199,
province,Indiana,geonames,http://sws.geonames.org/4921868,40.00032,-86.25027,
province,Jiangsu,geonames,http://sws.geonames.org/1806260,33,119.83333,
province,Yogyakarta,geonames,http://sws.geonames.org/1621176,-7.8008,110.34393,
province,Kanagawa,geonames,http://sws.geonames.org/1860291,35.41667,139.33333,
province,Kentucky,geonames,http://sws.geonames.org/6254925,38.20042,-84.87762,
province,Laguna,geonames,http://sws.geonames.org/6323174,-28.47071,-48.83834,
province,Manitoba,geonames,http://sws.geonames.org/6065171,55.00019,-97.00049,
province,Maryland,geonames,http://sws.geonames.org/4361885,39.00039,-76.74997,
province,Massachusetts,geonames,http://sws.geonames.org/6254926,42.36565,-71.10832,
province,Michigan,geonames,http://sws.geonames.org/5001836,44.25029,-85.50033,
province,Minnesota,geonames,http://sws.geonames.org/5037779,46.25024,-94.25055,
province,Missouri,geonames,http://sws.geonames.org/4398678,38.25031,-92.50046,
province,Miyagi,geonames,http://sws.geonames.org/2111888,38.44938,140.92624,
province,Miyagi,geonames,http://sws.geonames.org/2111888,38.44938,140.92624,
province,Nebraska,geonames,http://sws.geonames.org/5073708,41.50028,-99.75067,
