vid,name,authority,field_authority_link
temporal_subjects,17th century,lcsh,https://id.loc.gov/authorities/subjects/sh2002012473
subject,17th-century Christianity,wiki,https://www.wikidata.org/wiki/Q8106644
temporal_subjects,1870-1945,,
temporal_subjects,18th century,lcsh,https://id.loc.gov/authorities/subjects/sh2002012474
subject,1963 Canadian federal election,wiki,https://www.wikidata.org/wiki/Q937472
subject,1968 Canadian federal election,wiki,https://www.wikidata.org/wiki/Q951012
subject,1993 Canadian federal election,wiki,https://www.wikidata.org/wiki/Q374646
temporal_subjects,19th century,lcsh,https://id.loc.gov/authorities/subjects/sh2002012475
subject,2015 Canadian federal election,wiki,https://www.wikidata.org/wiki/Q3586271
subject,3's a Crowd (Musical group),lcnaf,https://id.loc.gov/authorities/names/no98026283
subject,Abenaki people,wiki,https://www.wikidata.org/wiki/Q318806
subject,"Abortion, Induced",mesh,https://id.nlm.nih.gov/mesh/D000028
subject,Academic costume,lcsh,https://id.loc.gov/authorities/subjects/sh85000298
subject,Acadia,lcsh,https://id.loc.gov/authorities/subjects/sh85000302
subject,Acadians,lcsh,https://id.loc.gov/authorities/subjects/sh85000305
subject,Accidents,lcsh,https://id.loc.gov/authorities/subjects/sh99002078
subject,Accordion,lcsh,https://id.loc.gov/authorities/subjects/sh85000385
subject,Acid phosphatase,lcsh,https://id.loc.gov/authorities/subjects/sh85000523
subject,Acid rain,lcsh,https://id.loc.gov/authorities/subjects/sh85000526
subject,Acne,lcsh,https://id.loc.gov/authorities/subjects/sh85000560
subject,Act of state,lcsh,https://id.loc.gov/authorities/subjects/sh85000678
subject,Acting,lcsh,https://id.loc.gov/authorities/subjects/sh85000691
subject,Action Française,wiki,https://www.wikidata.org/wiki/Q49629
subject,Activist art,wiki,https://www.wikidata.org/wiki/Q57174004
subject,Actors,lcsh,https://id.loc.gov/authorities/subjects/sh85000744
subject,Acupuncture,lcsh,https://id.loc.gov/authorities/subjects/sh85000761
subject,"Adath Israel Congregation (Toronto, Ont.)",viaf,http://viaf.org/viaf/147120797
subject,Adenoidectomy,mesh,https://id.nlm.nih.gov/mesh/D000233
subject,Administration of estates,lcsh,https://id.loc.gov/authorities/subjects/sh85000899
subject,Administrative acts,lcsh,https://id.loc.gov/authorities/subjects/sh85000900
subject,Administrative acts--France,lcsh,https://id.loc.gov/authorities/subjects/sh2009113577
subject,Administrative courts,lcsh,https://id.loc.gov/authorities/subjects/sh85000910
subject,Administrative procedure,lcsh,https://id.loc.gov/authorities/subjects/sh85000919
subject,Adoption,lcsh,https://id.loc.gov/authorities/subjects/sh85000978
subject,Adrenergic beta blockers,lcsh,https://id.loc.gov/authorities/subjects/sh85001009
subject,Adrenocortical hormones,lcsh,https://id.loc.gov/authorities/subjects/sh85001012
subject,Adult immunization,lcsh,https://id.loc.gov/authorities/subjects/sh99001349
subject,Adventure and adventurers,lcsh,https://id.loc.gov/authorities/subjects/sh85001066
subject,Adversaries,lcsh,https://id.loc.gov/authorities/subjects/sh85001081
subject,Advertising,lcsh,https://id.loc.gov/authorities/subjects/sh85001086
subject,"Aerial operations, British",lcsh,https://id.loc.gov/authorities/subjects/sh99002243
subject,Aerial photographs,lcsh,https://id.loc.gov/authorities/subjects/sh99001232
subject,Aerial photography in geography,lcsh,https://id.loc.gov/authorities/subjects/sh85001263
subject,Aerial views,tgm,https://id.loc.gov/vocabulary/graphicMaterials/tgm000111
subject,Aeronautics,lcsh,https://id.loc.gov/authorities/subjects/sh85001319
subject,Aeronautics--Flights,lcsh,https://id.loc.gov/authorities/subjects/sh85001336
subject,"Aeronautics, Commercial",lcsh,https://id.loc.gov/authorities/subjects/sh85001360
subject,"Aeronautics, Military",lcsh,https://id.loc.gov/authorities/subjects/sh85001371
subject,Aesthetics,lcsh,https://id.loc.gov/authorities/subjects/sh99002256
subject,"Aesthetics, British",lcsh,https://id.loc.gov/authorities/subjects/sh85001448
subject,"AFP protein, human",mesh,https://id.nlm.nih.gov/mesh/C097353
subject,African American orators,lcsh,https://id.loc.gov/authorities/subjects/sh85001876
subject,African Americans,lcsh,https://id.loc.gov/authorities/subjects/sh85001932
subject,African Americans--Civil rights,lcsh,https://id.loc.gov/authorities/subjects/sh85001935
subject,African diaspora,lcsh,https://id.loc.gov/authorities/subjects/sh91005631
subject,African-American music,wiki,https://www.wikidata.org/wiki/Q388207
subject,Age (Law),lcsh,https://id.loc.gov/authorities/subjects/sh85002069
subject,Agnosticism,lcsh,https://id.loc.gov/authorities/subjects/sh85002231
subject,Agricultural ecology,lcsh,https://id.loc.gov/authorities/subjects/sh85002307
subject,Agricultural education,lcsh,https://id.loc.gov/authorities/subjects/sh85002310
subject,Agricultural laborers,lcsh,https://id.loc.gov/authorities/subjects/sh85002338
subject,Agricultural laborers--United States,lcsh,https://id.loc.gov/authorities/subjects/sh85002346
subject,Agricultural land,wiki,https://www.wikidata.org/wiki/Q3395383
subject,Agricultural landscape management,lcsh,https://id.loc.gov/authorities/subjects/sh2002010219
subject,Agricultural workers,lcsh,https://id.loc.gov/authorities/subjects/sh85002338.html
subject,Agriculture,lcsh,https://id.loc.gov/authorities/subjects/sh85002415
subject,Agriculture and state,lcsh,https://id.loc.gov/authorities/subjects/sh85002484
subject,Agriculture--Economic aspects--Canada,lcsh,https://id.loc.gov/authorities/subjects/sh2009114365
subject,"Agriculture--Handbooks, manuals, etc.",lsch,https://id.loc.gov/authorities/subjects/sh85002437
subject,Agriculture--Québec (Province),lcsh,https://id.loc.gov/authorities/subjects/sh85002466
subject,Agriculturists,lcsh,https://id.loc.gov/authorities/subjects/sh85002496
subject,AIDS (Disease),lcsh,https://id.loc.gov/authorities/subjects/sh85002541
subject,AIDS (Disease) in women,lcsh,https://id.loc.gov/authorities/subjects/sh97006267
subject,Air bases,lcsh,https://id.loc.gov/authorities/subjects/sh85002597
subject,Air Canada,lcnaf,https://id.loc.gov/authorities/names/n50055097
subject,Air pollution,lcsh,https://id.loc.gov/authorities/subjects/sh85002574
subject,Airplanes,lcsh,https://id.loc.gov/authorities/subjects/sh85002782
subject,Airports,lcsh,https://id.loc.gov/authorities/subjects/sh85002960
subject,"Akiyoshi, Toshiko, 1929-  穐吉, 敏子, 1929-",lcnaf,https://id.loc.gov/authorities/names/n80156448
subject,"Albers, Anni, 1899-1994",lcnaf,https://id.loc.gov/authorities/names/n80063365
subject,"Albers, Josef, 1888-1976",lcnaf,https://id.loc.gov/authorities/names/n80057250
subject,Alberta--Description and travel,lcsh,https://id.loc.gov/authorities/subjects/sh86002790
subject,Alberta--Economic conditions,,
subject,Alchemy,lcsh,https://id.loc.gov/authorities/subjects/sh85003265
subject,Alcohol,lcsh,https://id.loc.gov/authorities/subjects/sh85003268
subject,Alcoholic beverage industry,lcsh,https://id.loc.gov/authorities/subjects/sh85003282
