vid,name,description,external_uri,authority,field_authority_link
islandora_display,Open Seadragon,Display using the Open Seadragon viewer,http://openseadragon.github.io,,
islandora_display,PDFjs,Display using the PDF.js viewer,http://mozilla.github.io/pdf.js,,
resource_types,Collection,"Aggregation of resources, generally gathered together artificially.",https://id.loc.gov/vocabulary/resourceTypes/col.html,resource_types_scheme,https://id.loc.gov/vocabulary/resourceTypes/col.html
resource_types,Dataset,"Data encoded in a defined structure, but not normally displayed in its raw form.",https://id.loc.gov/vocabulary/resourceTypes/dat.html,resource_types_scheme,https://id.loc.gov/vocabulary/resourceTypes/dat.html
resource_types,Still Image,"Resource expressed through line, shape, shading, etc., intended to be perceived visually as a still image or images in two dimensions.",https://id.loc.gov/vocabulary/resourceTypes/img.html,resource_types_scheme,https://id.loc.gov/vocabulary/resourceTypes/img.html
resource_types,Interactive resource,"A resource requiring interaction from the user to be understood, executed, or experienced",http://purl.org/dc/dcmitype/InteractiveResource,dcmi_types,http://purl.org/dc/dcmitype/InteractiveResource
resource_types,Moving image,"Images intended to be perceived as moving, including motion pictures and video recordings.",https://id.loc.gov/vocabulary/resourceTypes/mov.html,resource_types_scheme,https://id.loc.gov/vocabulary/resourceTypes/mov.html
resource_types,Physical object,"An inanimate, three-dimensional object or substance",http://purl.org/dc/dcmitype/PhysicalObject,dcmi_types,http://purl.org/dc/dcmitype/PhysicalObject
resource_types,Service,A system that provides one or more functions,http://purl.org/dc/dcmitype/Service,dcmi_types,http://purl.org/dc/dcmitype/Service
resource_types,Audio,"Resources expressed in an audible form, including music or other sounds.",https://id.loc.gov/vocabulary/resourceTypes/aud.html,resource_types_scheme,https://id.loc.gov/vocabulary/resourceTypes/aud.html
resource_types,Software,A computer program in source or compiled form,https://id.loc.gov/vocabulary/resourceTypes/sof.html,resource_types_scheme,https://id.loc.gov/vocabulary/resourceTypes/sof.html
resource_types,Text,Resource intended to be perceived visually and understood through the use of language in written or spoken form.,https://id.loc.gov/vocabulary/resourceTypes/txt.html,resource_types_scheme,https://id.loc.gov/vocabulary/resourceTypes/txt.html
resource_types,Mixed material,"Resource comprised of multiple types which is not driven by software; for instance, a manuscript collection of text, photographs and sound recordings.",https://id.loc.gov/vocabulary/resourceTypes/mix,resource_types_scheme,https://id.loc.gov/vocabulary/resourceTypes/mix
